original_id,split,variant,path,quality_label,blur,underexposure,overexposure,noise,severe_degradation,visual_defect
0,train,clean,data/processed/images/0000_clean.png,ACCEPTABLE,0,0,0,0,0,0
0,train,blur,data/processed/images/0000_blur.png,DEGRADED,1,0,0,0,0,0
0,train,underexposure,data/processed/images/0000_underexposure.png,DEGRADED,0,1,0,0,0,0
0,train,overexposure,data/processed/images/0000_overexposure.png,DEGRADED,0,0,1,0,0,0
0,train,noise,data/processed/images/0000_noise.png,DEGRADED,0,0,0,1,0,0
0,train,severe,data/processed/images/0000_severe.png,DEGRADED,1,0,0,1,1,0
0,train,defect,data/processed/images/0000_defect.png,POTENTIALLY_DEFECTIVE,0,0,0,0,0,1
1,train,clean,data/processed/images/0001_clean.png,ACCEPTABLE,0,0,0,0,0,0
1,train,blur,data/processed/images/0001_blur.png,DEGRADED,1,0,0,0,0,0
1,train,underexposure,data/processed/images/0001_underexposure.png,DEGRADED,0,1,0,0,0,0
1,train,overexposure,data/processed/images/0001_overexposure.png,DEGRADED,0,0,1,0,0,0
1,train,noise,data/processed/images/0001_noise.png,DEGRADED,0,0,0,1,0,0
1,train,severe,data/processed/images/0001_severe.png,DEGRADED,1,0,0,1,1,0
1,train,defect,data/processed/images/0001_defect.png,POTENTIALLY_DEFECTIVE,0,0,0,0,0,1
2,train,clean,data/processed/images/0002_clean.png,ACCEPTABLE,0,0,0,0,0,0
2,train,blur,data/processed/images/0002_blur.png,DEGRADED,1,0,0,0,0,0
2,train,underexposure,data/processed/images/0002_underexposure.png,DEGRADED,0,1,0,0,0,0
2,train,overexposure,data/processed/images/0002_overexposure.png,DEGRADED,0,0,1,0,0,0
2,train,noise,data/processed/images/0002_noise.png,DEGRADED,0,0,0,1,0,0
2,train,severe,data/processed/images/0002_severe.png,DEGRADED,1,0,0,1,1,0
2,train,defect,data/processed/images/0002_defect.png,POTENTIALLY_DEFECTIVE,0,0,0,0,0,1
3,train,clean,data/processed/images/0003_clean.png,ACCEPTABLE,0,0,0,0,0,0
3,train,blur,data/processed/images/0003_blur.png,DEGRADED,1,0,0,0,0,0
3,train,underexposure,data/processed/images/0003_underexposure.png,DEGRADED,0,1,0,0,0,0
3,train,overexposure,data/processed/images/0003_overexposure.png,DEGRADED,0,0,1,0,0,0
3,train,noise,data/processed/images/0003_noise.png,DEGRADED,0,0,0,1,0,0
3,train,severe,data/processed/images/0003_severe.png,DEGRADED,1,0,0,1,1,0
3,train,defect,data/processed/images/0003_defect.png,POTENTIALLY_DEFECTIVE,0,0,0,0,0,1
4,train,clean,data/processed/images/0004_clean.png,ACCEPTABLE,0,0,0,0,0,0
4,train,blur,data/processed/images/0004_blur.png,DEGRADED,1,0,0,0,0,0
